,Date,Time,Current,RPM
286,2019-12-02,14:48:36.276098,['-2.05'],['1673.17']
287,2019-12-02,14:48:36.291985,['-2.40'],['1672.71']
288,2019-12-02,14:48:36.324190,['0.43'],['1658.37']
289,2019-12-02,14:48:36.355983,['2.21'],['1659.29']
290,2019-12-02,14:48:36.387705,['2.04'],['1660.67']
291,2019-12-02,14:48:36.419811,['-2.20'],['1672.24']
292,2019-12-02,14:48:36.451659,['-2.60'],['1677.85']
293,2019-12-02,14:48:36.483589,['2.19'],['1668.98']
294,2019-12-02,14:48:36.499509,['2.40'],['1666.67']
295,2019-12-02,14:48:36.531525,['-1.86'],['1661.13']
296,2019-12-02,14:48:36.563282,['-2.28'],['1673.64']
297,2019-12-02,14:48:36.595337,['-0.39'],['1671.31']
298,2019-12-02,14:48:36.626859,['2.18'],['1665.28']
299,2019-12-02,14:48:36.659131,['2.39'],['1668.52']
300,2019-12-02,14:48:36.690955,['-2.25'],['1663.43']
301,2019-12-02,14:48:36.722849,['-2.54'],['1668.06']
302,2019-12-02,14:48:36.738765,['2.11'],['1669.91']
303,2019-12-02,14:48:36.771087,['2.43'],['1663.43']
304,2019-12-02,14:48:36.802908,['-1.31'],['1671.77']
305,2019-12-02,14:48:36.834734,['-2.35'],['1673.64']
306,2019-12-02,14:48:36.866648,['-1.17'],['1658.37']
307,2019-12-02,14:48:36.898415,['2.22'],['1662.51']
308,2019-12-02,14:48:36.914751,['2.52'],['1653.80']
309,2019-12-02,14:48:36.946639,['-2.15'],['1667.13']
310,2019-12-02,14:48:36.978312,['-2.56'],['1674.11']
311,2019-12-02,14:48:37.010170,['2.10'],['1668.06']
312,2019-12-02,14:48:37.042093,['2.46'],['1661.13']
313,2019-12-02,14:48:37.074219,['-0.56'],['1654.72']
314,2019-12-02,14:48:37.106049,['-2.21'],['1667.59']
315,2019-12-02,14:48:37.137893,['-2.05'],['1666.20']
316,2019-12-02,14:48:37.154077,['2.24'],['1665.74']
317,2019-12-02,14:48:37.185724,['2.54'],['1668.52']
318,2019-12-02,14:48:37.217822,['-2.18'],['1662.97']
319,2019-12-02,14:48:37.249691,['-2.50'],['1668.98']
320,2019-12-02,14:48:37.281594,['1.84'],['1664.36']
321,2019-12-02,14:48:37.313417,['2.29'],['1666.20']
322,2019-12-02,14:48:37.345358,['0.52'],['1662.97']
323,2019-12-02,14:48:37.361622,['-2.27'],['1662.51']
324,2019-12-02,14:48:37.393312,['-2.52'],['1670.38']
325,2019-12-02,14:48:37.425284,['2.29'],['1667.59']
326,2019-12-02,14:48:37.457215,['2.49'],['1657.92']
327,2019-12-02,14:48:37.489110,['-2.12'],['1667.59']
328,2019-12-02,14:48:37.520921,['-2.43'],['1671.77']
329,2019-12-02,14:48:37.552762,['1.04'],['1673.17']
330,2019-12-02,14:48:37.568894,['2.28'],['1666.67']
331,2019-12-02,14:48:37.600844,['1.48'],['1661.59']
332,2019-12-02,14:48:37.632621,['-2.26'],['1660.21']
333,2019-12-02,14:48:37.664606,['-2.57'],['1666.67']
334,2019-12-02,14:48:37.696476,['2.18'],['1668.98']
335,2019-12-02,14:48:37.728320,['2.51'],['1669.45']
336,2019-12-02,14:48:37.760173,['-2.03'],['1662.97']
337,2019-12-02,14:48:37.776379,['-2.29'],['1668.06']
338,2019-12-02,14:48:37.808191,['0.17'],['1662.97']
339,2019-12-02,14:48:37.840348,['2.20'],['1667.13']
340,2019-12-02,14:48:37.872064,['2.21'],['1658.37']
341,2019-12-02,14:48:37.903824,['-2.20'],['1659.75']
342,2019-12-02,14:48:37.935833,['-2.55'],['1672.71']
343,2019-12-02,14:48:37.967676,['2.19'],['1664.36']
344,2019-12-02,14:48:37.983719,['2.42'],['1661.59']
345,2019-12-02,14:48:38.015381,['-1.55'],['1664.36']
346,2019-12-02,14:48:38.047464,['-2.28'],['1665.74']
347,2019-12-02,14:48:38.079299,['-1.12'],['1674.11']
348,2019-12-02,14:48:38.111371,['2.28'],['1674.11']
349,2019-12-02,14:48:38.143349,['2.54'],['1665.28']
350,2019-12-02,14:48:38.175183,['-2.18'],['1658.37']
351,2019-12-02,14:48:38.191559,['-2.42'],['1663.89']
352,2019-12-02,14:48:38.223282,['2.07'],['1674.57']
353,2019-12-02,14:48:38.254882,['2.40'],['1669.91']
354,2019-12-02,14:48:38.286637,['-0.59'],['1661.59']
355,2019-12-02,14:48:38.318877,['-2.23'],['1668.06']
356,2019-12-02,14:48:38.350801,['-1.92'],['1662.97']
357,2019-12-02,14:48:38.382555,['2.20'],['1670.84']
358,2019-12-02,14:48:38.398532,['2.48'],['1663.89']
359,2019-12-02,14:48:38.430543,['-2.14'],['1662.51']
360,2019-12-02,14:48:38.462506,['-2.51'],['1672.71']
361,2019-12-02,14:48:38.494298,['1.78'],['1663.89']
362,2019-12-02,14:48:38.526351,['2.30'],['1666.67']
363,2019-12-02,14:48:38.558267,['0.53'],['1658.37']
364,2019-12-02,14:48:38.590109,['-2.15'],['1658.83']
365,2019-12-02,14:48:38.622043,['-2.49'],['1668.52']
366,2019-12-02,14:48:38.638348,['2.28'],['1663.43']
367,2019-12-02,14:48:38.670114,['2.52'],['1664.36']
368,2019-12-02,14:48:38.702004,['-2.12'],['1659.75']
369,2019-12-02,14:48:38.733890,['-2.36'],['1655.17']
370,2019-12-02,14:48:38.765636,['0.83'],['1667.13']
371,2019-12-02,14:48:38.797344,['2.22'],['1668.52']
372,2019-12-02,14:48:38.813851,['1.70'],['1664.36']
373,2019-12-02,14:48:38.845740,['-2.23'],['1666.20']
374,2019-12-02,14:48:38.877285,['-2.58'],['1660.21']
375,2019-12-02,14:48:38.909601,['2.13'],['1664.36']
376,2019-12-02,14:48:38.941280,['2.46'],['1664.82']
377,2019-12-02,14:48:38.973283,['-1.89'],['1660.21']
378,2019-12-02,14:48:39.005171,['-2.26'],['1670.38']
379,2019-12-02,14:48:39.037114,['-0.30'],['1663.43']
380,2019-12-02,14:48:39.053240,['2.22'],['1669.45']
381,2019-12-02,14:48:39.084846,['2.36'],['1663.43']
382,2019-12-02,14:48:39.116908,['-2.19'],['1662.05']
383,2019-12-02,14:48:39.148881,['-2.47'],['1665.74']
384,2019-12-02,14:48:39.180645,['2.10'],['1664.82']
385,2019-12-02,14:48:39.212575,['2.40'],['1677.38']
